No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
24,林志颖,男,1974年10月15日,演员、歌手及赛车手,中国,台湾省台北市,林志颖（JimmyLin），1974年10月15日出生于台湾省台北市，中国台湾男演员、歌手及赛车手。出道以来发表多张唱片并出演多部影视剧作品，是台湾第一位授薪职业赛车手及成功的企业家，拥有自己的车队“平坐车队”并活跃于各个领域。先后出演过《旋风小子》《绝代双骄》《天龙八部》《放羊的星星》等多部热播影视剧，发行了《去走走》《挡不住我》等个人国语专辑，出版《我对时间有耐心》等书籍。,https://baike.baidu.com/item/%E6%9E%97%E5%BF%97%E9%A2%96
25,邓超,男,1979年2月8日,演员、电影导演、投资出品人,中国,中国江西南昌,邓超，1979年出生于江西南昌，中国内地男演员、电影导演、投资出品人。1995年考入江西艺术职业学院话剧班，1998年考入中央戏剧学院表演系，毕业后编入中国国家话剧院。2014年执导喜剧片《分手大师》票房6.6亿 ，同期担任节目《奔跑吧兄弟》队长，其中收视率突破5%。15年凭犯罪片《烈日灼心》获第18届上海国际电影节最佳男演员奖及提名金马奖最佳男主角奖  。,https://baike.baidu.com/item/%E9%82%93%E8%B6%85/5681
26,张杰,男,1982年12月20日,歌手,中国,中国四川成都,"张杰，1982年12月20日出生于四川成都，毕业于四川师范大学，内地流行男歌手，行星文化（音乐厂牌）创始人。2004年获我型我秀全国总冠军出道。
至今已发行12张唱片，举办44场个人演唱会，获33次“最受欢迎男歌手”和13次“最佳男歌手”奖，达成内地乐坛“最受欢迎男歌手”大满贯，三度献唱好莱坞电影推广曲 ，三度献唱央视春晚。",https://baike.baidu.com/item/%E5%BC%A0%E6%9D%B0/256
27,吴京,男,1974年4月3日,演员、电影导演,中国,中国北京市,吴京，1974年4月3日出生于北京，中国内地影视男演员、电影导演，毕业于北京体育大学。1989年进入北京市武术队。1994年获得全国武术比赛精英赛枪术、对练冠军。1995年出演个人首部电影《功夫小子闯情关》，从而进入演艺圈。1998年因在古装剧《太极宗师》中饰演杨昱乾一角而被观众熟知。1999年主演武侠剧《小李飞刀》[。2003年赴香港发展电影事业。。2008年开始转型担任导演，并于同年执导导演处女作《狼牙》同年，自编自导自演军事战争片《战狼》。2017年自导自演动作片《战狼2》，该片打破中国内地票房纪录以及全球单一市场单片票房纪录。,https://baike.baidu.com/item/%E5%90%B4%E4%BA%AC/8698
28,周杰伦,男,1979年1月18日,歌手、音乐人、演员、导演、编剧、监制、商人,中国,台湾省新北市,周杰伦（JayChou），1979年1月18日出生于台湾省新北市，中国台湾流行乐男歌手、音乐人、演员、导演、编剧、监制、商人。2000年发行首张个人专辑《Jay》。2002年举行“The One”世界巡回演唱会。2003年成为美国《时代周刊》封面人物。2004年获得世界音乐大奖中国区最畅销艺人奖。演艺事业外，他还涉足商业、设计等领域。2007年成立杰威尔有限公司。2011年担任华硕笔电设计师并入股香港文化传信集团 。,https://baike.baidu.com/item/%E5%91%A8%E6%9D%B0%E4%BC%A6
29,罗志祥,男,1979年7月30日,歌手、主持人、舞者、演员,中国,台湾省基隆市,"罗志祥（ShowLo），1979年7月30日出生于中国台湾省基隆市，华语流行男歌手、主持人、舞者、演员、“STAGE""老板。1994年出道，2003年罗志祥推出首张个人专辑《ShowTime》。2005年举行首场个人演唱会，成为第一位踏上台北小巨蛋的流行歌手。 2008年发行第六张专辑《潮男正传》，获MTV亚洲音乐大奖。",https://baike.baidu.com/item/%E7%BD%97%E5%BF%97%E7%A5%A5/140514
30,王力宏,男,1976年5月17日,歌手、音乐制作人、演员、导演,美国,美国纽约罗切斯特,王力宏（LeehomWang），1976年5月17日出生于美国纽约罗切斯特，祖籍浙江义乌；华语流行乐男歌手、音乐制作人、演员、导演；拥有威廉姆斯大学和伯克利音乐学院双荣誉博士的学历。[2-3] ,https://baike.baidu.com/item/%E7%8E%8B%E5%8A%9B%E5%AE%8F
31,张嘉译,男,1970年4月8日,演员,中国,中国陕西西安,张嘉译，1970年4月8日生于陕西西安，中国影视男演员。1991年毕业于北京电影学院。1990年出演人生第一部电影《魔表》。2009年，凭借电视剧《蜗居》“宋思明”一角走红。2011年，参演《借枪》熊阔海一角获得第17届白玉兰最佳男演员奖。2013年，凭借在《浮沉》中的出色演出，再夺第19届白玉兰“最佳男演员”奖；同年，凭借《营盘镇警事》、《悬崖》、《心术》、《浮沉》获得第29届中国电视剧飞天奖颁奖典礼的“优秀男演员”奖。,https://baike.baidu.com/item/%E5%BC%A0%E5%98%89%E8%AF%91
32,刘昊然,男,1997年10月10日,演员,中国,河南省平顶山市,刘昊然，1997年10月10日出生于河南省平顶山市，中国内地男演员，就读于中央戏剧学院表演系本科。2014年，主演电影《北京爱情故事》，正式出道，凭借该片入围第21届北京大学生电影节最佳新人奖。2015年5月，加盟国防教育特别节目《真正男子汉》；7月，以专业和文化双料第一名的成绩被中央戏剧学院录取；12月，主演悬疑喜剧电影《唐人街探案》，凭借该片获得第20届华鼎奖中国最佳新人奖和2016中国电影指数盛典最佳银幕新锐演员奖，并入围第19届上海国际电影节亚洲新人奖最佳男演员奖，,https://baike.baidu.com/item/%E5%88%98%E6%98%8A%E7%84%B6
33,黄子韬,男,1993年5月2日,歌手、演员,中国,山东省青岛市,"黄子韬，1993年5月2日出生于山东省青岛市，中国流行乐男歌手、演员。
2012年，黄子韬以TAO为艺名随EXO组合正式出道[1]  。2015年6月11日，黄子韬Z.TAO工作室正式成立[2]  ；；10月21日，加盟湖南卫视国防教育节目《真正男子汉第二季》[8]  ；11月26日，黄子韬获百度娱乐年度人物奖。2017年12月25日，加盟优酷《这！就是街舞》[9]  。",https://baike.baidu.com/item/%E9%BB%84%E5%AD%90%E9%9F%AC
