No. ,明星,性别,生日,职业,国籍,出生地,简介,百度百科链接
92,胡冰卿,女,1992年1月25日,演员,中国,安徽合肥,胡冰卿，1992年1月25日出生于安徽合肥，中国内地女演员，毕业于上海视觉艺术学院表演系。2012年，主演以倡导国民新女性为主题的微电影《美》而进入演艺圈。2014年，主演古装武侠电视剧《秦时明月》。2015年，在根据明晓溪同名小说改编的青春偶像励志剧《旋风少女》中凭戚百草一角崭露头角。2017年，主演现代青春偶像剧《腾空之约》；同年11月，主演青春热血励志剧《艳势番之新青年》。2018年2月21日，主演的古装传奇剧《独孤天下》在腾讯视频播出，在剧中饰演一代贤后独孤伽罗。,https://baike.baidu.com/item/%E8%83%A1%E5%86%B0%E5%8D%BF
93,宋祖儿,女,1998年5月23日,演员,中国,天津,宋祖儿（lareina），1998年5月23日出生在天津，中国内地影视女演员。2005年，宋祖儿出演了个人第一部影视作品《海阔天高》，开始涉足演艺圈。2007年，第一次登上央视春晚舞台，并表演节目《阳光下的花朵》；同年，由她领衔主演的公益电影《你是天使》上映。2009年，因在古装神话剧《宝莲灯前传》中饰演哪吒而被观众熟知,https://baike.baidu.com/item/%E5%AE%8B%E7%A5%96%E5%84%BF
94,巩俐,女,1965年12月31日,演员,新加坡,辽宁省沈阳市,巩俐（GongLi），1965年12月31日出生于辽宁省沈阳市，祖籍山东省济南市，新加坡籍华裔女演员，毕业于中央戏剧学院，联合国促进和平艺术家，联合国全球环境保护大使。1987年因主演电影《红高粱》成名，该片获得第28届柏林国际电影节金熊奖。1992年凭借电影《秋菊打官司》获得第49届威尼斯国际电影节最佳女演员、第13届中国电影金鸡奖最佳女主角，该片亦获得金狮奖。1993年主演电影《霸王别姬》获得第46届戛纳国际电影节金棕榈奖，成为世界影史第二位主演影片包揽欧洲三大电影节最高奖的演员，并凭借该片获得第71届纽约影评人协会奖最佳女配角；同年获得柏林电影节金摄影机奖。1996年登上美国《时代周刊》封面。1997年担任戛纳电影节评委会成员。,https://baike.baidu.com/item/%E5%B7%A9%E4%BF%90
95,林依晨,女,1982年10月29日,演员、歌手,中国,台湾省台北市,林依晨（ArielLin），1982年10月29日出生于台湾省台北市宜兰县，中国台湾女演员、歌手。2000年，林依晨参加台北捷运报举办的第一届捷运超美少女比赛并获得冠军。2001年，她考入国立政治大学韩文系，其后陆续参与MV及广告的拍摄。2002年，因主演个人首部电视剧作品《十八岁的约定》正式出道。2004年，凭借个人大银幕处女作《飞跃情海》入围金马奖最佳女主角。2006年，因主演古装神话爱情剧《天外飞仙》而成功进军内地市场。2008年，凭偶像剧《恶作剧2吻》获得金钟奖戏剧类最佳女主角，成为偶像剧史上折桂金钟视后的第一人。2009年5月，签约爱贝克思(AVEX)进军歌坛；10月，发行个人首张音乐专辑《幸福遇见》,https://baike.baidu.com/item/%E6%9E%97%E4%BE%9D%E6%99%A8
96,阚清子,女,1988年4月15日,演员,中国,黑龙江省哈尔滨市,阚清子，1988年4月15日出生于黑龙江省哈尔滨市，中国内地影视女演员。2007年，阚清子进入北京电影学院表演系本科班就读。2009年，阚清子在民国年代剧《娘妻》饰演杨静怡正式出道。2011年，凭借古装言情剧《新还珠格格》中的“欣荣格格”一角而被观众所熟知，该剧在优酷大剧盛典上荣获年度十大电视剧优秀奖。2013年，阚清子凭借情感励志剧《璀璨人生》中“腹黑女王”叶琳一角的出色发挥，使其人气与知名度一路飙升，该剧一经开播即数度占据全国同时段收视冠军，后一度创下收视率破4%的好成绩  。,https://baike.baidu.com/item/%E9%98%9A%E6%B8%85%E5%AD%90
97,李沁,女,1990年9月27日,演员,中国,江苏省苏州市,李沁，1990年9月27日出生于江苏省苏州市，中国内地影视女演员，毕业于上海戏剧学院附属戏曲学校。2008年，李沁因在李少红版《红楼梦》中饰演少年薛宝钗而被观众熟知。2010年，李沁凭借在建党90周年献礼片《建党伟业》中饰演杨开慧获得第31届大众电影百花奖最佳新人奖提名。2013年，李沁主演的现代剧《守望的天空》获得了中美电影节优秀中国电视剧金天使奖；同年，李沁主演的都市剧《璀璨人生》获得全国同时段电视剧收视冠军。,https://baike.baidu.com/item/%E6%9D%8E%E6%B2%81/7055
98,景甜,女,1988年7月21日,演员,中国,陕西省西安市,景甜（JingTian），1988年7月21日出生于陕西省西安市，毕业于北京电影学院表演系，华语影视女演员。2006年，景甜发行了个人首张音乐EP《你是谁》，并正式踏上演艺之路。2010年，景甜凭借爱情片《我的美女老板》崭露头角。2011年，景甜因主演古装片《战国》而获得更多关注。2013年开始，其主演的动作片《特殊身份》，警匪片《警察故事2013》，贺岁片《澳门风云》，合计票房超过12亿人民币。2014年，景甜主演了古装剧《班淑传奇》。2015年，她主演的传奇剧《大玉儿传奇》播出,https://baike.baidu.com/item/%E6%99%AF%E7%94%9C
99,王祖贤,女,1967年1月31日,演员,中国,台湾省台北市,王祖贤（JoeyWong），1967年1月31日生于台湾省台北市，华语影视女演员、歌手。1984年，首次主演电影《今年的湖畔会很冷》，其后签约邵氏电影公司到香港发展。1987年，凭借电影《倩女幽魂》中聂小倩一角提名香港电影金像奖最佳女主角。1992年，凭借电影《倩女幽魂Ⅲ：道道道》获得第25届西班牙锡切斯奇幻电影节最佳女主角。1994年后，王祖贤逐渐淡出影视圈。1998年发行了个人国语专辑《与世隔绝》与日语专辑《Angelus》。2004年，王祖贤主演的电影《美丽上海》获得第24届中国电影金鸡奖最佳故事片奖；同年，拍完电影《美丽上海》后宣布息影。,https://baike.baidu.com/item/%E7%8E%8B%E7%A5%96%E8%B4%A4
100,张子枫,女,2001年8月27日,演员,中国,河南省三门峡市,张子枫，2001年8月27日出生于河南省三门峡市，中国内地女演员。在5岁时，张子枫开始拍广告并因参演多部电视剧从而进入演艺圈。2009年，凭灾难情感片《唐山大地震》的“小方登”一角而崭露头角，并获得第31届大众电影百花奖最佳新人奖。2010年，主演了年代亲情剧《我的父亲是板凳》。2011年，主演家庭情感剧《情感战争》。2015年，在动作悬疑片《唐人街探案》中饰演神秘少女思诺；之后，主演都市家庭情感剧《小别离》。,https://baike.baidu.com/item/%E5%BC%A0%E5%AD%90%E6%9E%AB
101,金南珠,女,1995年4月15日,歌手,韩国,韩国,金南珠（KimNamJoo），1995年4月15日出生于韩国，韩国歌手，女子组合Apink成员。2011年4月，作为Apink组合成员以首张迷你专辑《Seven Springs Of Apink》正式出道  。2013年7月5日发行专辑《Secret Garden》及第二张混音单曲《BUBIBU》  。2014年3月，推出作品《Mr. Chu》，并推出专辑《Pink Blossom》回归乐坛。,https://baike.baidu.com/item/%E9%87%91%E5%8D%97%E7%8F%A0/7030524
102,刘涛,女,1978年7月12日,演员,中国,江西南昌,刘涛，1978年7月12日出生于江西南昌，中国内地影视女演员、歌手。2000年，因出演情景剧《外来媳妇本地郎》进入演艺圈。2003年，凭借古装剧《还珠格格3之天上人间》被观众熟知；同年，她还因古装武侠剧《天龙八部》获得金南方奖最具魅力女演员奖。,https://baike.baidu.com/item/%E5%88%98%E6%B6%9B/10796
103,梁洛施,女,1988年6月23日,歌手、演员,中国,中国澳门,"梁洛施，1988年6月23日生于中国澳门，中英葡混血，中国香港女歌手、演员。
梁洛施12岁加入香港英皇娱乐唱片公司进入演艺圈，16岁正式出道。2005年，参演个人首部电影《虫不知》，饰演小月；同年在古装喜剧片《情癫大圣》中饰演红孩儿。2007年在中国台湾女同志片《刺青》中饰演竹子。2009年4月26日，梁洛施为李嘉诚次子李泽楷生下一子李长治。2010年6月，再次产下一对男双胞胎。2011年2月26日，梁洛施与李泽楷分手。2014年，梁洛施参演电影《念念》正式复出。",https://baike.baidu.com/item/%E6%A2%81%E6%B4%9B%E6%96%BD
104,高圆圆,女,1979年10月5日,演员、模特,中国,北京市,高圆圆，1979年10月5日出生于北京市，中国内地影视女演员、模特。1996年，高圆圆被广告公司发掘，随后拍摄大量的商业广告，在广告圈中崭露头[。1997年，主演了个人首部大银幕作品《爱情麻辣烫》，从此开始了她的演艺生涯。2003年，凭借古装武侠爱情剧《倚天屠龙记》受到广泛关注。2005年，因在剧情片《青红》中饰演女主人公青红入围戛纳电影节最佳女主角奖。2006年，凭借喜剧动作片《宝贝计划》入围百花奖最佳女演员提名。2007年因在爱情电影《男才女貌》中饰演聋哑幼师秦小悠获得第11届电影表演艺术学会奖新人奖 。,https://baike.baidu.com/item/%E9%AB%98%E5%9C%86%E5%9C%86
105,谢娜,女,1981年5月6日,主持人、歌手、女演员,中国,四川省德阳市,谢娜，1981年5月6日出生于四川省德阳市中江县，毕业于四川师范大学电影电视学院（今四川电影电视学院），中国内地主持人、歌手、影视女演员。1996年，谢娜拍摄了个人第一部电影《青年刘伯承》。2002年，因主持湖南卫视嘉宾访谈游戏秀节目《快乐大本营》被观众熟知。2008年，参演古装武侠剧《射雕英雄传》。2013年，主演喜剧片《快乐大本营之快乐到家》；同年，她还获得中国大学生电视节最受大学生喜爱的电视节目主持人奖[,https://baike.baidu.com/item/%E8%B0%A2%E5%A8%9C
106,山口百惠,女,1959年1月17日,演员、歌手,日本,日本东京,山口百惠，1959年1月17日生于日本东京都涩谷区惠比寿，日本影视演员、歌手。1972年12月，山口百惠在第五届“明星诞生”歌唱比赛中，以《回转木马》一曲获得第二名，崭露头角，正式出道。1974年，主演的第一部电影《伊豆的舞女》上映，这是她第一次和三浦友和共同演出。1975年，举办了第一次个人演唱会并第一次入选“红白歌曲大赛”并且拍摄了电影《潮骚》、《初恋时代》和《绝唱》及第一部电视剧《血疑》。1979年，入选“红白歌唱大赛”并获“日本唱片大赏”及“日本歌谣大赏”优秀歌唱赏。1980年10月5日，山口百惠发表引退宣言。1980年11月19日，山口百惠和三浦友和举行婚礼，其后，山口百惠退出娱乐圈。,https://baike.baidu.com/item/%E5%B1%B1%E5%8F%A3%E7%99%BE%E6%83%A0/30018?fr=aladdin
107,佟丽娅,女,1984年8月8日,演员,中国,新疆伊犁,佟丽娅，1984年8月8日出生于新疆伊犁，毕业于中央戏剧学院表演系本科班，中国内地影视女演员。2006年，学生时期的佟丽娅便因出演情感剧《新不了情》而踏入影视领域。2008年，佟丽娅因在古装剧《母仪天下》中饰演赵飞燕而崭露头角。2011年开始，佟丽娅凭借穿越剧《宫锁心玉》、爱情剧《北京爱情故事》获得更多关注。2012年，她凭借在多部影视剧中的表现获得亚洲偶像盛典年度最具实力女演员。2016年，佟丽娅凭借现代剧《平凡的世界》获得第19届华鼎奖中国当代题材电视剧最佳女演员和第28届中国电视金鹰奖观众喜爱的女演员奖,https://baike.baidu.com/item/%E4%BD%9F%E4%B8%BD%E5%A8%85
108,马思纯,女,1988年3月14日,演员,中国,安徽省蚌埠市,马思纯（Sandra），1988年3月14日出生于安徽省蚌埠市，毕业于中国传媒大学，中国内地影视女演员。1995年，马思纯参演个人首部电影《三个人的冬天》。2000年，马思纯参演个人首部电视剧《大宅门》。2007年，她因担任饶雪漫小说《甜酸》的书模而为人所知。2008年，马思纯主演了爱情剧《恋人》。2011年，马思纯出演了都市剧《摩登新人类》。2012年，她凭借电影《岁月无声》获得中国电影表演艺术学会金凤凰奖最佳新人奖,https://baike.baidu.com/item/%E9%A9%AC%E6%80%9D%E7%BA%AF
109,杨紫,女,1992年11月6日,演员、流行乐歌手,中国,北京市,杨紫，1992年11月6日出生于北京市，毕业于北京电影学院2010级表演系本科班，中国内地影视女演员、流行乐歌手。2002年，因出演古装历史情感剧《孝庄秘史》开始崭露头角。因主演情景喜剧《家有儿女》被观众熟知。2012年，凭借惊悚片《守株人》获得第14届中国电影表演艺术学会金凤凰奖新人奖。2016年，凭借都市职场女性剧《欢乐颂》提名第23届上海电视节白玉兰奖最佳女配角；同年，她还还与其她三位女艺人共同被南都娱乐周刊评为“90后四小花旦”,https://baike.baidu.com/item/%E6%9D%A8%E7%B4%AB
110,程潇,女,1998年7月15日,歌手,中国,广东省深圳市,程潇，1998年7月15日出生于广东省深圳市，中国内地流行乐女歌手，女子演唱组合宇宙少女成员，毕业于深圳艺术学校。2016年2月，程潇随宇宙少女发行首张迷你专辑《WOULDYOULIKE？》并正式出道；3月，程潇随宇宙少女在中国出道；5月，随宇宙少女获得MCountdowninChina亚洲强音盛典最佳新人奖；8月，随宇宙少女发行第二张迷你专辑《THESECRET》。2017年1月，程潇随宇宙少女推出第三张迷你专辑《From.WJSN》；4月，程潇获得第十七届音乐风云榜年度盛典”偶像新势力“奖。2018年1月，担任竞演类真人秀节目《偶像练习生》的舞蹈导师,https://baike.baidu.com/item/%E7%A8%8B%E6%BD%87/19428863
111,孙俪,女,1982年9月26日,演员、歌手,中国,上海市,孙俪，原名孙丽，1982年9月26日出生于上海市，中国内地女演员、歌手。2001年，参加新加坡“新传媒8频道”举行的“才华横溢出新秀”，获得亚军及智慧大奖，随后签约海润影视，正式出道；2004年，凭借电视剧《玉观音》中安心一角荣获第22届中国电视金鹰奖最具人气女演员奖、最受观众喜爱的电视剧女演员奖、等多种奖项；2012年，孙俪凭借在清宫剧《后宫甄嬛传》中饰演甄嬛入围第41届国际艾美奖最佳女主角奖，并获得国剧盛典最佳女主角；2014年，因出演时装剧《辣妈正传》荣获第20届上海电视节白玉兰奖最佳女演员奖、2016年6月，孙俪凭借饰演芈月获得第22届上海电视节白玉兰奖最佳女主角奖  。,https://baike.baidu.com/item/%E5%AD%99%E4%BF%AA
112,周冬雨,女,1992年1月31日,演员,中国,河北省石家庄市,周冬雨，1992年1月31日出生于河北省石家庄市，毕业于北京电影学院2011级本科班，中国内地影视女演员。2010年，因主演张艺谋执导电影《山楂树之恋》被观众熟知，并凭借此片获得第14届中国电影华表奖优秀新人女演员奖、第56届西班牙巴利亚多利德国际电影节最佳女演员等多个奖项。2014年，因主演青春爱情电影《同桌的你》获得第15届华语电影传媒大奖年度最受瞩目女演员奖。2015年担任中国电影节形象大使。2016年，凭借电影《七月与安生》获得第53届台湾电影金马奖最佳女主角、第2届金砖国家电影节最佳女主角及第23届香港电影评论学会大奖最佳女演员,https://baike.baidu.com/item/%E5%91%A8%E5%86%AC%E9%9B%A8
113,刘诗诗,女,1987年3月10日,演员、影视出品人,中国,北京市,刘诗诗，原名刘诗施，1987年3月10日出生于北京市，中国内地影视女演员、影视出品人。2002年，考入北京舞蹈学院芭蕾舞专业本科班学习。2004年，因在爱情剧《月影风荷》中饰演女主角叶风荷而踏入演艺圈。2010年，凭借仙侠剧《仙剑奇侠传三》受到更多关注。2011年，因在宫廷剧《步步惊心》中饰演马尔泰·若曦而赢得颇高人气，并获得第十八届上海电视节白玉兰奖最具人气女演员奖等奖项[。2012年，凭借仙侠剧《轩辕剑之天之痕》获得国剧盛典年度最具人气女演员奖。2013年，在“新生代四小花旦”评选活动中，刘诗诗与其她三位女演员共同被评为内地新“四小花旦”。2015年1月20日，刘诗诗与吴奇隆登记结婚[。2016年，凭借古装剧《女医·明妃传》获得首届中国电视剧品质盛典年度最具影响力演员,https://baike.baidu.com/item/%E5%88%98%E8%AF%97%E8%AF%97
114,翁虹,女,1968年9月17日,演员、歌手,中国,香港,翁虹，1968年9月17日生于香港特别行政区，香港影视女演员、歌手，毕业于香港演艺学院舞蹈系。1989年，翁虹参选亚洲小姐并获冠军，与亚洲电视台签约进入娱乐圈。1998年，翁虹参演电视剧《春光灿烂猪八戒》，扮演妙妙一角。2007年1月，翁虹与专业健身管理师刘冠廷结婚，并于同年10月诞下一女。2009年5月10日，在“母婴平安120行动优品名流慈善夜”中荣获“公益之星”大奖。2013年在2013MSN时尚影响力大典中荣获年度最具爱心影响力艺人,https://baike.baidu.com/item/%E7%BF%81%E8%99%B9
115,王菲,女,1969年8月8日,演员、歌手,中国,北京,王菲（Faye Wong），1969年8月8日出生于北京，中国流行乐女歌手、影视演员 、中国国家一级演员。1989年凭借歌曲《仍是旧句子》在香港歌坛出道，同年发行首张个人专辑《王靖雯》。1992年因演唱歌曲《容易受伤的女人》而被听众所熟知。2006年11月，成立嫣然基金会。2012年5月，成为北京嫣然天使儿童医院的创始人之一。,https://baike.baidu.com/item/%E7%8E%8B%E8%8F%B2/11029
116,姚明,男,1980年9月12日,中国职业篮球运动员,中国,上海市,姚明，1980年9月12日出生于上海市徐汇区，祖籍江苏省苏州市吴江区震泽镇，前中国职业篮球运动员，司职中锋，现任中职联公司董事长兼总经理。1998年4月，姚明入选王非执教的国家队，开始篮球生涯。2001夺得CBA常规赛MVP，2002年夺得CBA总冠军以及总决赛MVP，分别3次当选CBA篮板王以及盖帽王，2次当选CBA扣篮王。在2002年NBA选秀中，他以状元秀身份被NBA的休斯敦火箭队选中。2009年，姚明收购上海男篮，成为上海大鲨鱼篮球俱乐部老板。2011年7月20日，姚明正式宣布退役。,https://baike.baidu.com/item/%E5%A7%9A%E6%98%8E/28
117,林丹,男,1983年10月14日,中国羽毛球男子单打项目运动员,中国,福建省龙岩市,林丹，汉族，1983年10月14日生于福建省龙岩市上杭县临江镇。中国羽毛球男子单打项目运动员。2008年北京奥运会、2012年伦敦奥运会羽毛球男单冠军。羽毛球运动历史上第一位集奥运会、世锦赛、世界杯、亚运会、亚锦赛、全英赛、全运会以及多座世界羽联超级系列赛冠军于一身的双圈全满贯球员。被誉为中国羽球一哥，世界羽毛球四大天王之一。,https://baike.baidu.com/item/%E6%9E%97%E4%B8%B9/2674
118,刘翔,男,1983年7月13日,中国男子田径队110米栏运动员,中国,上海市,刘翔，1983年7月13日出生于上海市普陀区，中国男子田径队110米栏运动员。中国体育田径史上、也是亚洲田径史上第一个集奥运会冠军、室内室外世锦赛冠军、国际田联大奖赛总决赛冠军、世界纪录保持者多项荣誉于一身的运动员。,https://baike.baidu.com/item/%E5%88%98%E7%BF%94/5836
119,郭晶晶,女,1981年10月15日,中国跳水队运动员，奥运会冠军,中国,河北保定,"郭晶晶，1981年10月15日生于河北保定，前中国跳水队运动员，奥运会冠军。
2004年，郭晶晶在雅典奥运会获得女子单人3米板与女子双人3米板两枚金牌，这让她成为中国跳水的领军人物。2011年1月22日，郭晶晶正式宣布退役。2012年11月7日，郭晶晶与霍启刚结婚，郭晶晶为霍启刚诞下一名男婴。2016年4月，参与录制《极速前进第三季》  。2017年4月24日，郭晶晶顺利生女。",https://baike.baidu.com/item/%E9%83%AD%E6%99%B6%E6%99%B6/965689
120,易建联,男,1987年10月27日,中国职业篮球运动员,中国,广东省鹤山市,易建联，1987年10月27日出生于中国广东省鹤山市，中国职业篮球运动员，司职大前锋/中锋，毕业于广东工业大学，效力于CBA广东东莞银行队。,https://baike.baidu.com/item/%E6%98%93%E5%BB%BA%E8%81%94
121,叶诗文,女,1996年3月1日,中国国家游泳队女运动员,中国,浙江杭州,"叶诗文，1996年3月1日生于浙江杭州，中国国家游泳队女运动员。2010年，14岁首次参加亚运会就夺得女子200米、400米个人混合泳冠军；2011年上海世锦赛上夺得200米混冠军；2012年伦敦奥运会上，女子400米混决赛中，以4分28秒43的成绩夺得冠军并打破世界纪录；在女子200混比赛中，两次打破奥运会纪录，创造了中国游泳个人单届获得两项奥运冠军的历史。2012年底，土耳其伊斯坦布尔短池世锦赛比赛夺冠后成为中国泳坛第一个大满贯得主。2013年辽宁全运会200混夺冠后，叶诗文拿完包括全运会、亚运会、游泳世界杯、长池世锦赛、短池世锦赛、奥运会在内的所有国内外重大比赛的金牌，成为中国泳坛首个金满贯。
2018年1月30日，当选为浙江省出席第十三届全国人民代表大会代表。",https://baike.baidu.com/item/%E5%8F%B6%E8%AF%97%E6%96%87
122,李宗伟,男,1982年10月21日,马来西亚羽毛球男子单打运动员,马来西亚,马来西亚槟城州,李宗伟，1982年10月21日出生于马来西亚槟城州，祖籍福建省泉州市南安县。马来西亚羽毛球男子单打运动员。被誉为马来西亚羽球一哥，世界羽毛球界四大天王之一。2008、2012、2016年奥运会羽毛球男单亚军，也是历史上第一位连续三届奥运会打进羽毛球男单决赛的运动员。,https://baike.baidu.com/item/%E6%9D%8E%E5%AE%97%E4%BC%9F/10996172
123,福原爱,女,1988年11月1日,日本乒乓球运动员,日本,日本宫城县仙台市,福原爱，1988年11月1日出生于日本宫城县仙台市，日本乒乓球运动员。2000年，成为历史上年龄最小的日本国家队成员。2004年参加雅典奥运会，是日本历史上参加奥运会年龄最小的选手。2007年10月参加ITTF奥地利公开赛，与平野早矢香获得双打冠军。2011年福原爱加入广东女乒，参加2011赛季中国乒乓球超级联赛。2012年参加伦敦奥运会，并获得女子乒乓球团体亚军。2016年参加第53届世乒赛团体赛，获得女子乒乓球团体亚军。2016年8月11日，获得里约奥运会乒乓球女单第4名。2017年1月1日在台北举办结婚典礼,https://baike.baidu.com/item/%E7%A6%8F%E5%8E%9F%E7%88%B1
124,刘诗雯,女,1991年4月12日,中国女子乒乓球队运动员,中国,辽宁抚顺,刘诗雯，1991年4月12日出生于辽宁抚顺，中国女子乒乓球队运动员，现就读于华南理工大学工商管理专业。刘诗雯5岁开始练习乒乓球，7岁进入广州伟伦体校，正式开始了自己的乒球生涯。11岁进入广东省队。2004年2月进入国家二队，2004年7月取得乒乓球亚洲少年赛团体冠军和女双冠军；2007年获得全锦赛冠军。2016年8月17日，里约奥运会乒乓球女团决赛，刘诗雯和队友（李晓霞、丁宁）横扫德国强势夺冠，实现奥运会3连冠。,https://baike.baidu.com/item/%E5%88%98%E8%AF%97%E9%9B%AF
125,邓亚萍,女,1973年2月6日,中国女子乒乓球队运动员,中国,河南省郑州市,邓亚萍，1973年2月6日生于河南省郑州市，原中国女子乒乓球队运动员，奥运冠军，乒乓球大满贯得主，现为河南邓亚萍体育产业投资基金创始人。,https://baike.baidu.com/item/%E9%82%93%E4%BA%9A%E8%90%8D
126,孙悦,男,1985年12月6日,中国篮球运动员,中国,河北省沧州市,孙悦，1985年12月6日出生于河北省沧州市，中国篮球运动员，司职后卫，效力于北京首钢队。1995年，10岁的孙悦开始打篮球，从此步入职业生涯。2007年被湖人在第二轮总第40顺位选中，2008年8月8日签约美国NBA洛杉矶湖人队，2009年8月1日被洛杉矶湖人队裁掉。2009年9月15日，孙悦与纽约尼克斯队签约。10月8日，尼克斯队与孙悦解约。2014年9月，租借至北京男篮，帮助球队夺得2013-14赛季CBA总冠军，从而成为历史上第一个同时拥有NBA和CBA总冠军戒指的球员。,https://baike.baidu.com/item/%E5%AD%99%E6%82%A6/1534181
127,李娜,女,1982年2月26日,中国女子网球运动员,中国,湖北省武汉市,李娜，1982年2月26日出生于湖北省武汉市，中国女子网球运动员。2008年北京奥运会女子单打第四名，2011年法国网球公开赛、2014年澳大利亚网球公开赛女子单打冠军，亚洲第一位大满贯女子单打冠军，亚洲历史上女单世界排名最高选手。毕业于华中科技大学。,https://baike.baidu.com/item/%E6%9D%8E%E5%A8%9C/5285
128,孙杨,男,1991年12月1日,中国国家游泳队队长,中国,浙江杭州,孙杨，1991年12月1日生于浙江杭州，中国国家游泳队队长，男子1500米自由泳世界纪录保持者，男子400米自由泳奥运会纪录保持者。2012年伦敦奥运会男子400米自由泳、男子1500米自由泳冠军；2016年里约奥运会男子200米自由泳冠军。孙杨是世界泳坛历史上唯一一位男子200米自由泳、男子400米自由泳、男子1500米自由泳的奥运会世锦赛大满贯冠军得主，史上唯一一位男子800米自由泳世锦赛三连冠，男子自由泳个人单项金牌数居世界第一。孙杨是亚洲唯一一位男子200米自由泳奥运会及世锦赛金牌得主，亚洲唯一一位获得世锦赛MVP的游泳运动员。,https://baike.baidu.com/item/%E5%AD%99%E6%9D%A8/1012
129,郎平,女,1960年12月10日,中国女子排球运动员,中国,中国天津市,郎平，1960年12月10日出生于中国天津市，前中国女子排球运动员，奥运冠军，现任中国女排总教练、中国排球学院院长。,https://baike.baidu.com/item/%E9%83%8E%E5%B9%B3/58857
130,罗汉琛,男,1994年8月23日,篮球运动员,中国,湖南长沙,罗汉琛，1994年8月23日出生于湖南长沙，目前身高185cm，篮球运动员，司职后卫，效力于上海队。[1]  [2]  2017年05月23日上海官方宣布罗汉琛加盟 。,https://baike.baidu.com/item/%E7%BD%97%E6%B1%89%E7%90%9B
131,马云,男,1964年9月10日,阿里巴巴集团董事局主席,中国,浙江省杭州市,马云，男，1964年9月10日生于浙江省杭州市，祖籍浙江省嵊州市（原嵊县）谷来镇，阿里巴巴集团主要创始人，现担任阿里巴巴集团董事局主席、日本软银董事、大自然保护协会中国理事会主席兼全球董事会成员、华谊兄弟董事、生命科学突破奖基金会董事。,https://baike.baidu.com/item/%E9%A9%AC%E4%BA%91/6252
132,马化腾,男,1971年10月29日,腾讯公司主要创办人之一,中国,广东省汕头市,马化腾，男，1971年10月29日生于广东省汕头市潮南区。腾讯公司主要创办人之一。现任腾讯公司控股董事会主席兼首席执行官；全国青联副主席。2017年8月7日，腾讯股价盘中再创历史新高价320.6港元，马化腾身家361亿美元成为中国首富。,https://baike.baidu.com/item/%E9%A9%AC%E5%8C%96%E8%85%BE
133,刘强东,男,1974年2月14日,京东集团董事局主席兼执行官,中国,江苏省宿迁市,刘强东，京东集团董事局主席兼执行官，1974年2月14日出生于江苏省宿迁市 ，毕业于中国人民大学，民建会员。1998年6月18日，在中关村创办京东公司，代理销售光磁产品，并担任总经理。2004年，初涉足电子商务领域，创办“京东多媒体网”（京东商城的前身），并出任CEO。目前，京东商城已成为中国最大的自营式电商企业，而京东集团的业务也从电子商务扩展至金融、技术领域，拥有近12万名正式员工，跻身全球前十大互联网公司排行榜。2014年5月，京东在美国纳斯达克成功上市 。,https://baike.baidu.com/item/%E5%88%98%E5%BC%BA%E4%B8%9C
134,李彦宏,男,1968年11月17日,百度公司创始人,中国,山西阳泉,李彦宏，百度公司创始人、董事长兼首席执行官，全面负责百度公司的战略规划和运营管理。1991年，李彦宏毕业于北京大学信息管理专业，随后前往美国布法罗纽约州立大学完成计算机科学硕士学位。2000年1月，李彦宏创建了百度。经过十多年的发展，百度已经发展成为全球第二大独立搜索引擎和最大的中文搜索引擎。百度的成功，也使中国成为美国、俄罗斯和韩国之外，全球仅有的4个拥有搜索引擎核心技术的国家之一。2005年，百度在美国纳斯达克成功上市，并成为首家进入纳斯达克成分股的中国公司。百度已经成为中国最具价值的品牌之一。,https://baike.baidu.com/item/%E6%9D%8E%E5%BD%A6%E5%AE%8F
135,雷军,男,1969年12月,小米科技创始人、董事长,中国,湖北仙桃,雷军（全国工商联副主席，小米科技创始人、董事长），1969年12月出生于湖北仙桃，毕业于武汉大学，是中国大陆著名天使投资人。雷军作为中国互联网代表人物及全球年度电子商务创新领袖人物，曾获中国经济年度人物及十大财智领袖人物、中国互联网年度人物[等多项国内外荣誉，并当选《福布斯》（亚洲版）2014年度商业人物。,https://baike.baidu.com/item/%E9%9B%B7%E5%86%9B/1968
136,贾跃亭,男,1973年2月6日,乐视控股集团创始人，乐视汽车生态全球董事长,中国,山西襄汾人,贾跃亭，男，汉族，1973年2月6日出生，山西襄汾人，乐视控股集团创始人，乐视汽车生态全球董事长。2004年创建乐视网，于2010年8月在创业板上市，致力于打造基于视频产业、内容产业和智能终端的“平台+内容+终端+应用”完整生态系统，被业界称为“乐视模式”。,https://baike.baidu.com/item/%E8%B4%BE%E8%B7%83%E4%BA%AD
137,李开复,男,1961年12月3日,信息产业的经理人、创业者和电脑科学的研究者,中国,台湾省新北市,李开复，1961年12月3日出生于台湾省新北市中和区，祖籍四川成都，现已移居北京市。李开复曾就读于卡内基梅隆大学，获计算机学博士学位，后担任副教授。他是一位信息产业的经理人、创业者和电脑科学的研究者。曾在苹果、SGI、微软和Google等多家IT公司担当要职。2009年9月从谷歌离职后创办创新工场，并任董事长兼首席执行官。,https://baike.baidu.com/item/%E6%9D%8E%E5%BC%80%E5%A4%8D
